,tradeoff,id,rho,p,n
43,0.1,ERR260235,-0.22816902809304837,0.7120269762018153,5.0
44,0.1,ERR260238,0.23352954119500055,0.7053861201999791,5.0
45,0.1,ERR260244,-0.8655402099170683,0.13445979008293174,4.0
46,0.1,ERR260245,0.9843112942818911,5.871671200257647e-05,7.0
47,0.1,ERR260246,-0.38570041926846543,0.5213743866798458,5.0
48,0.1,ERR260250,-0.3533489366033213,0.4920353690482663,6.0
49,0.1,ERR260251,0.8568182706834493,0.013772745988959428,7.0
50,0.1,ERR260252,-0.6049623801258364,0.1500940942384996,7.0
51,0.1,ERR260258,-0.1352329647251306,0.8283423061245312,5.0
52,0.1,ERR260261,0.44559843905783797,0.1695781728422194,11.0
53,0.1,ERR260270,,,2.0
54,0.1,ERR260275,,,2.0
55,0.1,ERR260276,,,2.0
56,0.1,ERR275251,-0.22875356219882478,0.7712464378011752,4.0
57,0.1,ERR321108,0.8428880566437131,0.3617071142409111,3.0
58,0.1,ERR321144,-0.22010036921572626,0.8587230196938903,3.0
59,0.1,ERR321148,,,1.0
60,0.1,ERR321150,,,1.0
61,0.1,ERR321182,-0.31330727959826504,0.686692720401735,4.0
62,0.1,ERR321188,,,1.0
63,0.1,ERR321190,0.4091963266024287,0.7316182301203097,3.0
64,0.1,ERR321208,,,1.0
65,0.1,ERR321221,0.393735284650189,0.7423653297514171,3.0
66,0.1,ERR321229,,,2.0
67,0.1,ERR321239,0.9850687360884494,0.11015019554714495,3.0
68,0.1,ERR321243,,,1.0
69,0.1,ERR321247,-0.11491614751314387,0.8850838524868562,4.0
70,0.1,ERR321251,,,2.0
71,0.1,ERR321252,0.48719644231964926,0.4051797334717691,5.0
72,0.1,ERR321358,,,1.0
73,0.1,ERR321376,,,1.0
74,0.1,ERR321393,0.9178389448136495,0.009848346888834401,6.0
75,0.1,ERR321428,,,1.0
76,0.1,ERR321480,0.34968727103453845,0.6503127289654616,4.0
77,0.1,ERR321487,0.9352909944022259,0.23027546590845183,3.0
78,0.1,ERR321493,0.4793570051302511,0.19166115649047136,9.0
79,0.1,ERR321515,,,1.0
80,0.1,ERR321519,,,1.0
81,0.1,ERR321548,0.6459404320708813,0.03179156456129839,11.0
82,0.1,ERR321553,-0.1579420239964815,0.7997412139578567,5.0
83,0.1,ERR321560,0.6466894924777942,0.03152884473282548,11.0
84,0.1,ERR321562,0.5297876156060775,0.09370489035883796,11.0
85,0.1,ERR321567,0.5765981503849744,0.23095224956800553,6.0
86,0.1,ERR321568,-0.07020768824572649,0.8687925224767461,8.0
87,0.1,ERR321578,0.4783811254989963,0.23048629326760073,8.0
88,0.1,ERR321584,0.6380666549852162,0.08868356171030405,8.0
89,0.1,ERR321587,,,2.0
90,0.1,ERR321589,0.4600626938032813,0.4356052300434761,5.0
91,0.1,ERR321590,0.3592137325792844,0.30800397031525034,10.0
92,0.1,ERR321592,-0.07202348178640851,0.8654222615072089,8.0
93,0.1,ERR321602,0.5307648309954611,0.11445517278725315,10.0
94,0.1,ERR321606,-0.044654610709253216,0.902512587320383,10.0
95,0.1,ERR321608,0.023596838555225146,0.9519512150601895,9.0
96,0.1,ERR321612,0.0153181549116546,0.9804970821839673,5.0
97,0.1,ERR321614,0.5330761480713484,0.0913084175920079,11.0
98,0.1,ERR321616,0.8059753256341133,0.028601886608524463,7.0
99,0.1,ERR321619,0.9996946993185296,0.015731497205519942,3.0
100,0.1,ERR321627,0.9165719381897378,0.08342806181026219,4.0
101,0.1,ERR321628,-0.34302724418076913,0.3661364869996322,9.0
102,0.1,ERR321631,0.16196044304392423,0.7591835426151848,6.0
103,0.1,ERR321634,-0.2700492642470565,0.5177362745215773,8.0
104,0.1,ERR321640,-0.1907387809125211,0.7173614893714559,6.0
105,0.1,ERR321642,0.46569244216558464,0.2922769859057315,7.0
106,0.1,ERR321648,0.8139856197849131,0.0007079113940271194,13.0
107,0.1,ERR414233,0.7146891743494598,0.17490042629983887,5.0
108,0.1,ERR414234,0.4786055490894763,0.09802112349135358,13.0
109,0.1,ERR414235,0.07665344958508259,0.8446054715273646,9.0
110,0.1,ERR414239,-0.2412989907590775,0.6450763552146289,6.0
111,0.1,ERR414240,0.39848067426470046,0.32817297418603847,8.0
112,0.1,ERR414241,-0.09063674805035961,0.8847559088099648,5.0
113,0.1,ERR414242,0.9863896766070277,0.0002766007599951594,6.0
114,0.1,ERR414244,,,2.0
115,0.1,ERR414246,0.5129469601170936,0.12947359881911272,10.0
116,0.1,ERR414250,0.6090547199057973,0.04671234161728568,11.0
117,0.1,ERR414252,0.46148208093124726,0.21114622231309552,9.0
118,0.1,ERR414254,,,1.0
119,0.1,ERR414261,0.9259132669859678,0.0009609744260122959,8.0
120,0.1,ERR414262,0.9769325387417465,0.13700405239395022,3.0
121,0.1,ERR414265,0.20762080685823306,0.6550794090241147,7.0
122,0.1,ERR414266,-0.24621354424559747,0.523070397266699,9.0
123,0.1,ERR414267,0.9683129195583412,1.8078777019118703e-05,9.0
124,0.1,ERR414268,0.6855330005847242,0.019889311840789833,11.0
125,0.1,ERR414274,0.4388994446121771,0.3245422623635105,7.0
126,0.1,ERR414277,-0.22929160671029913,0.5239733285381192,10.0
127,0.1,ERR414278,-0.26681945488511355,0.6643500857238132,5.0
128,0.1,ERR414279,-0.23885025681528343,0.6059818898018422,7.0
129,0.1,ERR414282,0.7214074279753669,0.02825228274859728,9.0
130,0.1,ERR414283,0.43525283356692396,0.20868025028125287,10.0
131,0.1,ERR414288,0.11314152130498271,0.7896631013590272,8.0
132,0.1,ERR414292,0.16615603724184166,0.7218023148761176,7.0
133,0.1,ERR414294,0.5372341000066826,0.2716772314172973,6.0
134,0.1,ERR414295,0.3701440082133357,0.3667647307431511,8.0
135,0.1,ERR414297,0.2511328415283727,0.5869795188736011,7.0
136,0.1,ERR414301,0.014161866078803771,0.9787586210227552,6.0
137,0.1,ERR414302,0.9236518461837164,0.008521042642904916,6.0
138,0.1,ERR414305,0.9237828358291301,0.0010445668189605869,8.0
139,0.1,ERR414306,0.2701579080347574,0.4217176806702585,11.0
140,0.1,ERR414308,0.284279272047342,0.45846819587549875,9.0
141,0.1,ERR414309,0.14731827969988234,0.7052605305562667,9.0
142,0.1,ERR414311,0.5285252861262948,0.09463566586939261,11.0
143,0.1,ERR414312,0.8264658348300286,0.01142321858690808,8.0
144,0.1,ERR414313,-0.36165792996517554,0.5497677279064975,5.0
145,0.1,ERR414315,0.8297997555030502,0.0056462249515498416,9.0
146,0.1,ERR414316,0.603118261895724,0.281585399631235,5.0
147,0.1,ERR414318,0.009275049234612042,0.9811063793615167,9.0
148,0.1,ERR414319,0.06439218950940376,0.859724680671023,10.0
149,0.1,ERR414320,0.2057992093229193,0.6579757750218324,7.0
150,0.1,ERR414321,-0.004418013879539141,0.9955819861204609,4.0
151,0.1,ERR414322,0.6837370392221633,0.061511506119977674,8.0
152,0.1,ERR414324,,,1.0
153,0.1,ERR414325,0.599951750425511,0.051026822818070826,11.0
154,0.1,ERR414326,0.9479429602114301,0.003994367480071971,6.0
155,0.1,ERR414329,-0.5157394489307888,0.6550345155714642,3.0
156,0.1,ERR414330,0.16756284293683746,0.6435756248103436,10.0
157,0.1,ERR414331,-0.08306221458058528,0.9470599572874768,3.0
158,0.1,ERR414332,0.6589112603893135,0.2264960582053213,5.0
159,0.1,ERR414333,,,2.0
160,0.1,ERR414334,0.3843407164624435,0.3471836600483379,8.0
161,0.1,ERR414335,0.28947469859511965,0.5779163052971998,6.0
162,0.1,ERR414336,0.7023393155783624,0.03489145962529383,9.0
163,0.1,ERR414337,0.7802663528717886,0.4301670123115255,3.0
164,0.1,ERR414338,0.8205317613603056,0.0887695637722837,5.0
165,0.1,ERR414339,0.1436335141378646,0.6560712736773434,12.0
166,0.1,ERR414341,0.4266196718029585,0.19069549085092205,11.0
167,0.1,ERR414343,0.1917435538263725,0.6804367436755846,7.0
168,0.1,ERR414344,0.9836606319437985,1.8069293643129215e-06,9.0
169,0.1,ERR414345,0.5007192041214652,0.16975778389386342,9.0
170,0.1,ERR414347,0.4319524068845749,0.21254541590836423,10.0
171,0.1,ERR414351,-0.5916999773623912,0.4083000226376088,4.0
172,0.2,ERR260132,0.16198467156622304,0.7946602403356421,5.0
173,0.2,ERR260134,-0.1260626736996491,0.6543875970678348,15.0
174,0.2,ERR260138,-0.17368217581076764,0.6808356657956337,8.0
175,0.2,ERR260139,-0.16910446671992813,0.74876118269818,6.0
176,0.2,ERR260140,,,2.0
177,0.2,ERR260142,0.06369785474845073,0.8808891900332957,8.0
178,0.2,ERR260143,-0.2638481511034165,0.5675045329233596,7.0
179,0.2,ERR260150,-0.17023411119658138,0.6869240859923269,8.0
180,0.2,ERR260151,,,1.0
181,0.2,ERR260152,0.979682311761768,0.12854948554683396,3.0
182,0.2,ERR260154,0.19886552164121077,0.6690313233894687,7.0
183,0.2,ERR260158,,,2.0
184,0.2,ERR260161,-0.482071694740129,0.18879404742774758,9.0
185,0.2,ERR260162,0.537478371671611,0.10909349330270636,10.0
186,0.2,ERR260164,0.8844714220826272,0.0015386304845788434,9.0
187,0.2,ERR260165,-0.07713825017197813,0.8845221229788225,6.0
188,0.2,ERR260166,0.12026514977051869,0.7766677591813563,8.0
189,0.2,ERR260167,-0.11770186007116083,0.7460645878563366,10.0
190,0.2,ERR260172,-0.1789844966387069,0.6207749585303252,10.0
191,0.2,ERR260173,-0.10189024422215219,0.707303416865056,16.0
192,0.2,ERR260174,-0.1983736639758541,0.706342715214625,6.0
193,0.2,ERR260177,0.09269039007944493,0.8271983907400104,8.0
194,0.2,ERR260180,0.739377583539598,0.0930348017059637,6.0
195,0.2,ERR260181,0.13864993565805417,0.7220305051150377,9.0
196,0.2,ERR260182,-0.018543643998457583,0.9594497245619424,10.0
197,0.2,ERR260185,-0.40247573644692924,0.4288842572266717,6.0
198,0.2,ERR260186,0.5439882944136963,0.13001190997534312,9.0
199,0.2,ERR260189,-0.37050982945742084,0.32630502437780545,9.0
200,0.2,ERR260194,0.18866317510623978,0.6016778316907395,10.0
201,0.2,ERR260195,0.7248168873358598,0.06535628414336682,7.0
202,0.2,ERR260198,0.26643720250134784,0.40254350150674445,12.0
203,0.2,ERR260199,0.6444900598428498,0.1671150024763031,6.0
204,0.2,ERR260200,0.3090111446503059,0.45643105154156544,8.0
205,0.2,ERR260203,0.14483409166139602,0.7322098942058624,8.0
206,0.2,ERR260204,0.08138545967678613,0.8781913425672337,6.0
207,0.2,ERR260206,0.9697036475128944,0.15710604519499924,3.0
208,0.2,ERR260214,-0.2683520010027436,0.6071343875074152,6.0
209,0.2,ERR260218,,,2.0
210,0.2,ERR260222,-0.3643970313422438,0.6356029686577562,4.0
211,0.2,ERR260223,0.07836212805296126,0.9500619221883709,3.0
212,0.2,ERR260227,-0.7329124500991625,0.2670875499008375,4.0
213,0.2,ERR260230,0.9840639698776082,0.0024091464591838876,5.0
214,0.2,ERR260231,0.3539328346442972,0.6460671653557029,4.0
215,0.2,ERR260235,-0.22816927337726922,0.712026672134396,5.0
216,0.2,ERR260238,0.23781267648605,0.7000862757487716,5.0
217,0.2,ERR260244,-0.8773197864585827,0.12268021354141734,4.0
218,0.2,ERR260245,0.9839133246676162,6.249806664966717e-05,7.0
219,0.2,ERR260246,-0.39107227760784813,0.515071671256986,5.0
220,0.2,ERR260250,-0.35743629291607304,0.4866787167444387,6.0
221,0.2,ERR260251,0.856798948301277,0.013777243120537729,7.0
222,0.2,ERR260252,-0.5993780603019365,0.1549183120768354,7.0
223,0.2,ERR260258,-0.13522691034800555,0.8283499439869136,5.0
224,0.2,ERR260261,0.44497911105354065,0.17024347406912319,11.0
225,0.2,ERR260270,,,2.0
226,0.2,ERR260275,,,2.0
227,0.2,ERR260276,,,2.0
228,0.2,ERR275251,-0.20792738401764202,0.792072615982358,4.0
229,0.2,ERR321108,0.8413899073422215,0.36347574728394444,3.0
230,0.2,ERR321144,-0.22010297150985125,0.858721321373991,3.0
231,0.2,ERR321148,,,1.0
232,0.2,ERR321150,,,1.0
233,0.2,ERR321182,-0.29663286923178106,0.703367130768219,4.0
234,0.2,ERR321188,,,1.0
235,0.2,ERR321190,0.40919607026175175,0.7316184089708588,3.0
236,0.2,ERR321208,,,1.0
237,0.2,ERR321221,0.39557256769100285,0.7410923508379593,3.0
238,0.2,ERR321229,,,2.0
239,0.2,ERR321239,0.9850687360835702,0.11015019556518732,3.0
240,0.2,ERR321243,,,1.0
241,0.2,ERR321247,-0.11390921275427345,0.8860907872457265,4.0
242,0.2,ERR321251,,,2.0
243,0.2,ERR321252,0.4871964364765282,0.4051797399687964,5.0
244,0.2,ERR321358,,,1.0
245,0.2,ERR321376,,,1.0
246,0.2,ERR321393,0.9152587901926237,0.01046734256782873,6.0
247,0.2,ERR321428,,,1.0
248,0.2,ERR321480,0.3496813367818371,0.6503186632181629,4.0
249,0.2,ERR321487,0.934147119568194,0.23232455358751955,3.0
250,0.2,ERR321493,0.4832368368804214,0.18757095041165592,9.0
251,0.2,ERR321515,,,1.0
252,0.2,ERR321519,,,1.0
253,0.2,ERR321548,0.6468863462575302,0.031460055240702986,11.0
254,0.2,ERR321553,-0.15672084178593138,0.8012767069223478,5.0
255,0.2,ERR321560,0.6447735478738112,0.03220388130666394,11.0
256,0.2,ERR321562,0.530056802974556,0.0935071872380048,11.0
257,0.2,ERR321567,0.5849539867354866,0.22264621392041026,6.0
258,0.2,ERR321568,-0.05633926788277383,0.8945871938738099,8.0
259,0.2,ERR321578,0.4792585701764342,0.2295089946939761,8.0
260,0.2,ERR321584,0.6305889102460067,0.09369124106286926,8.0
261,0.2,ERR321587,,,2.0
262,0.2,ERR321589,0.46297294225353025,0.4323180184215654,5.0
263,0.2,ERR321590,0.36640464162031994,0.2977038336735784,10.0
264,0.2,ERR321592,-0.04621848150712328,0.9134636799842575,8.0
265,0.2,ERR321602,0.5306802081993127,0.11452378698498838,10.0
266,0.2,ERR321606,-0.028834791172253692,0.936976312477297,10.0
267,0.2,ERR321608,0.033355035844789285,0.9321126463358265,9.0
268,0.2,ERR321612,0.019057401609385616,0.97573683148798,5.0
269,0.2,ERR321614,0.534549882896457,0.0902476854058987,11.0
270,0.2,ERR321616,0.8058435627980326,0.028648305241981437,7.0
271,0.2,ERR321619,0.9993996941629025,0.022059879311842678,3.0
272,0.2,ERR321627,0.9165717645286132,0.08342823547138678,4.0
273,0.2,ERR321628,-0.34216943782180803,0.3674154605762851,9.0
274,0.2,ERR321631,0.16213926320971384,0.758922356135094,6.0
275,0.2,ERR321634,-0.2657937847800717,0.5246108930264124,8.0
276,0.2,ERR321640,-0.17980949673648858,0.7331925062319068,6.0
277,0.2,ERR321642,0.4830525663669333,0.27217149647088484,7.0
278,0.2,ERR321648,0.8129754299031329,0.000727806930484691,13.0
279,0.2,ERR414233,0.7150246045669292,0.17460177962983525,5.0
280,0.2,ERR414234,0.4688576607690482,0.10605686826564535,13.0
281,0.2,ERR414235,0.07329936361626468,0.8513427211834409,9.0
282,0.2,ERR414239,-0.24105127206710633,0.6454263202491225,6.0
283,0.2,ERR414240,0.40502367644102794,0.3195455570288089,8.0
284,0.2,ERR414241,-0.08724301801035193,0.8890598137378679,5.0
285,0.2,ERR414242,0.9858155666073065,0.0003003702851241687,6.0
286,0.2,ERR414244,,,2.0
287,0.2,ERR414246,0.515619789904338,0.12714716771522253,10.0
288,0.2,ERR414250,0.6178718464226639,0.04277950947771421,11.0
289,0.2,ERR414252,0.48867754372391264,0.18191898963573291,9.0
290,0.2,ERR414254,,,1.0
291,0.2,ERR414261,0.7259462895813132,0.04146046742228155,8.0
292,0.2,ERR414262,0.9769325387326505,0.1370040524210666,3.0
293,0.2,ERR414265,0.20954814204431219,0.6520186561272134,7.0
294,0.2,ERR414266,-0.22955051147312802,0.5524141710069714,9.0
295,0.2,ERR414267,0.967321026697954,2.0118563917093424e-05,9.0
296,0.2,ERR414268,0.7016658619592404,0.01610649543824494,11.0
297,0.2,ERR414274,0.4366936556331986,0.32726370374125113,7.0
298,0.2,ERR414277,-0.18291796605788627,0.6129883648416163,10.0
299,0.2,ERR414278,-0.26682117199900723,0.6643479786878796,5.0
300,0.2,ERR414279,-0.2388502567986402,0.6059818898277137,7.0
301,0.2,ERR414282,0.7212702186939302,0.02829682484728363,9.0
302,0.2,ERR414283,0.43777345334421036,0.2057558586345204,10.0
303,0.2,ERR414288,0.118726306616154,0.7794712767122831,8.0
304,0.2,ERR414292,0.1659867328159315,0.7220779269167247,7.0
305,0.2,ERR414294,0.5379018181777672,0.27096508930305835,6.0
306,0.2,ERR414295,0.37078250225723,0.3658736130662843,8.0
307,0.2,ERR414297,0.25641227883878015,0.5788686020160567,7.0
308,0.2,ERR414301,0.0191779892722641,0.9712365428784993,6.0
309,0.2,ERR414302,0.9211443755686481,0.009082143860028105,6.0
310,0.2,ERR414305,0.9236713736980459,0.0010490662341673073,8.0
311,0.2,ERR414306,0.2738739683757056,0.41510687857756856,11.0
312,0.2,ERR414308,0.2919368835303728,0.4459068799998979,9.0
313,0.2,ERR414309,0.1531154371386818,0.694105727673042,9.0
314,0.2,ERR414311,0.5320168027882956,0.0920759418366047,11.0
315,0.2,ERR414312,0.820369653301679,0.01260831168088713,8.0
316,0.2,ERR414313,-0.34002118466951226,0.5755647124237872,5.0
317,0.2,ERR414315,0.8261772773809156,0.006055376364969474,9.0
318,0.2,ERR414316,0.6062294023950765,0.2784303915624716,5.0
319,0.2,ERR414318,0.021639301006740528,0.9559339763399237,9.0
320,0.2,ERR414319,0.07347240804593425,0.8401439035960566,10.0
321,0.2,ERR414320,0.2648314301857779,0.5660071350496789,7.0
322,0.2,ERR414321,0.0051913453707457926,0.9948086546292542,4.0
323,0.2,ERR414322,0.6778814437106992,0.06467169601886341,8.0
324,0.2,ERR414324,,,1.0
325,0.2,ERR414325,0.3626808273614872,0.2729936389690545,11.0
326,0.2,ERR414326,0.9613606920459355,0.002210650010342145,6.0
327,0.2,ERR414329,-0.7300016108217355,0.4790385656097052,3.0
328,0.2,ERR414330,0.1696260028921672,0.63943647857929,10.0
329,0.2,ERR414331,-0.08306218863707038,0.947059973860903,3.0
330,0.2,ERR414332,0.661487823841239,0.22403204683246516,5.0
331,0.2,ERR414333,,,2.0
332,0.2,ERR414334,0.38746271667821136,0.3429435776720671,8.0
333,0.2,ERR414335,0.2662294220559658,0.6100907854037344,6.0
334,0.2,ERR414336,0.8063137260034358,0.008662439711504584,9.0
335,0.2,ERR414337,0.7797084018963906,0.43073461440065886,3.0
336,0.2,ERR414338,0.8208909452842031,0.08850827308453361,5.0
337,0.2,ERR414339,0.1510867766780937,0.6392715772435312,12.0
338,0.2,ERR414341,0.42977500123298834,0.1870798330497134,11.0
339,0.2,ERR414343,0.20385054840064817,0.6610779407201862,7.0
340,0.2,ERR414344,0.9835843798047145,1.8364788388057962e-06,9.0
341,0.2,ERR414345,0.5067173231703342,0.16387907183579462,9.0
342,0.2,ERR414347,0.43789953379606744,0.2056102080362118,10.0
343,0.2,ERR414351,-0.5981481194009366,0.4018518805990634,4.0
344,0.3,ERR260132,0.16198466157228872,0.794660252892263,5.0
345,0.3,ERR260134,-0.12541490284347054,0.6560622432223383,15.0
346,0.3,ERR260138,-0.17279133793060317,0.6824072350873366,8.0
347,0.3,ERR260139,-0.1691044718201997,0.7487611752665463,6.0
348,0.3,ERR260140,,,2.0
349,0.3,ERR260142,0.06450736760624226,0.879383801980581,8.0
350,0.3,ERR260143,-0.2638482806199669,0.5675043356049725,7.0
351,0.3,ERR260150,-0.16509582144213172,0.696024284387273,8.0
352,0.3,ERR260151,,,1.0
353,0.3,ERR260152,0.9796823232953646,0.1285494489359643,3.0
354,0.3,ERR260154,0.19886550914173368,0.6690313433629853,7.0
355,0.3,ERR260158,,,2.0
356,0.3,ERR260161,-0.4818262610326274,0.18905226082676976,9.0
357,0.3,ERR260162,0.5365379622425434,0.10983482682157931,10.0
358,0.3,ERR260164,0.8822020910392573,0.0016432477828316795,9.0
359,0.3,ERR260165,-0.07654615092201014,0.8854050275540408,6.0
360,0.3,ERR260166,0.12072079859958479,0.7758380451825831,8.0
361,0.3,ERR260167,-0.11698755810024349,0.7475634606412548,10.0
362,0.3,ERR260172,-0.17855868107460476,0.6216199463566541,10.0
363,0.3,ERR260173,-0.1001551163897389,0.712088133922552,16.0
364,0.3,ERR260174,-0.19646044766736304,0.7091006917156937,6.0
365,0.3,ERR260177,0.09269526900100639,0.8271893992848958,8.0
366,0.3,ERR260180,0.7393699368200563,0.0930400013962166,6.0
367,0.3,ERR260181,0.13951563389763644,0.7203509731571623,9.0
368,0.3,ERR260182,-0.018543643999914643,0.9594497245587577,10.0
369,0.3,ERR260185,-0.40403743625207134,0.42692264376418904,6.0
370,0.3,ERR260186,0.5439882348658127,0.13001196043525273,9.0
371,0.3,ERR260189,-0.37050247780882317,0.3263153780888059,9.0
372,0.3,ERR260194,0.18868822899391172,0.6016286733980091,10.0
373,0.3,ERR260195,0.7248168227913969,0.06535631997404862,7.0
374,0.3,ERR260198,0.26698877403127214,0.4015330597969013,12.0
375,0.3,ERR260199,0.6444900495001679,0.16711501154630617,6.0
376,0.3,ERR260200,0.309286961961004,0.45600802297758913,8.0
377,0.3,ERR260203,0.14621309486491593,0.7297326168046422,8.0
378,0.3,ERR260204,0.08138544323338344,0.8781913670689661,6.0
379,0.3,ERR260206,0.9697036439132991,0.15710605457576235,3.0
380,0.3,ERR260214,-0.26125010145456795,0.6170402185563637,6.0
381,0.3,ERR260218,,,2.0
382,0.3,ERR260222,-0.3643970314016566,0.6356029685983434,4.0
383,0.3,ERR260223,0.07836213929285367,0.9500619150107618,3.0
384,0.3,ERR260227,-0.7329124220459271,0.2670875779540729,4.0
385,0.3,ERR260230,0.9840639426024408,0.002409152634307205,5.0
386,0.3,ERR260231,0.35393281962895135,0.6460671803710487,4.0
387,0.3,ERR260235,-0.228169399509825,0.7120265157737508,5.0
388,0.3,ERR260238,0.23843473623811812,0.699317027593494,5.0
389,0.3,ERR260244,-0.8808207062668517,0.11917929373314828,4.0
390,0.3,ERR260245,0.9839132811904682,6.249848746762326e-05,7.0
391,0.3,ERR260246,-0.39113791037239504,0.5149947614082614,5.0
392,0.3,ERR260250,-0.3574363246071427,0.48667867528114483,6.0
393,0.3,ERR260251,0.8567987634324082,0.013777286151361536,7.0
394,0.3,ERR260252,-0.5990829595680608,0.15517536806152343,7.0
395,0.3,ERR260258,-0.13522691065595102,0.8283499435984267,5.0
396,0.3,ERR260261,0.4448276561750931,0.17040641536819406,11.0
397,0.3,ERR260270,,,2.0
398,0.3,ERR260275,,,2.0
399,0.3,ERR260276,,,2.0
400,0.3,ERR275251,-0.2075153285893534,0.7924846714106466,4.0
401,0.3,ERR321108,0.8412318260987709,0.3636619231260729,3.0
402,0.3,ERR321144,-0.2201028225247995,0.8587214186052561,3.0
403,0.3,ERR321148,,,1.0
404,0.3,ERR321150,,,1.0
405,0.3,ERR321182,-0.29888821158980394,0.7011117884101961,4.0
406,0.3,ERR321188,,,1.0
407,0.3,ERR321190,0.4091961160148951,0.7316183770485962,3.0
408,0.3,ERR321208,,,1.0
409,0.3,ERR321221,0.39569297335078146,0.741008888414257,3.0
410,0.3,ERR321229,,,2.0
411,0.3,ERR321239,0.9850687360899001,0.11015019554178046,3.0
412,0.3,ERR321243,,,1.0
413,0.3,ERR321247,-0.11390916564384437,0.8860908343561557,4.0
414,0.3,ERR321251,,,2.0
415,0.3,ERR321252,0.48719644153060443,0.40517973434911625,5.0
416,0.3,ERR321358,,,1.0
417,0.3,ERR321376,,,1.0
418,0.3,ERR321393,0.914607312077971,0.010626528779206564,6.0
419,0.3,ERR321428,,,1.0
420,0.3,ERR321480,0.34968133785631195,0.650318662143688,4.0
421,0.3,ERR321487,0.9341435286360273,0.23233095903485537,3.0
422,0.3,ERR321493,0.4837795937207885,0.18700272737306942,9.0
423,0.3,ERR321515,,,1.0
424,0.3,ERR321519,,,1.0
425,0.3,ERR321548,0.6470992437495376,0.031385777948962676,11.0
426,0.3,ERR321553,-0.1567693298415274,0.8012157331367211,5.0
427,0.3,ERR321560,0.6441630231933543,0.03242109587639369,11.0
428,0.3,ERR321562,0.5301945596467564,0.09340611880297302,11.0
429,0.3,ERR321567,0.5865758636285304,0.22104814804559175,6.0
430,0.3,ERR321568,-0.05432718858880457,0.8983367734581738,8.0
431,0.3,ERR321578,0.4792585586771972,0.2295090074878704,8.0
432,0.3,ERR321584,0.6290306634345815,0.09475479940745975,8.0
433,0.3,ERR321587,,,2.0
434,0.3,ERR321589,0.46314203654512803,0.4321271941317306,5.0
435,0.3,ERR321590,0.3680790253539795,0.29533217483377544,10.0
436,0.3,ERR321592,-0.03681207160060264,0.9310396967631305,8.0
437,0.3,ERR321602,0.5306802166741422,0.11452378011210412,10.0
438,0.3,ERR321606,-0.021272061543043487,0.9534884157036787,10.0
