samples,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative
ERR260158,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1822,0.00046491440037907595
ERR260161,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,3062,0.0001928214743928423
ERR260162,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,14479,0.0007643001164107365
ERR260164,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,4821,0.00046353616461850835
ERR260165,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,11688,0.0011828662910735594
ERR260166,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1142,0.00012351619679136942
ERR260167,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1230,8.310361040595035e-05
ERR260172,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,26287,0.0012177621592418942
ERR260173,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,11569,0.0006875948533504425
ERR260174,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,5319,0.000500054668507189
ERR260177,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,8979,0.0005704465244978482
ERR260180,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,7766,0.0012501330057167108
ERR260181,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1863,0.00011013043984076001
ERR260182,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,6596,0.0005552903231400741
ERR260185,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,12240,0.0010975640265857979
ERR260186,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,7711,0.0008230971895143116
ERR260189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,8645,0.0010319251007395243
ERR260194,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,12089,0.0009245659285715654
ERR260195,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1721,0.0002777420939526782
ERR260198,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1072,9.128338219236628e-05
ERR260199,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,4947,0.0006812566962011021
ERR260200,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,5282,0.0006095195365897505
ERR260203,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1645,0.00018539606459942734
ERR260204,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1486,0.00020994049896329515
ERR260206,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1811,0.0004933818451282292
ERR260214,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,15104,0.0008035641560376458
ERR260218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,703,0.000224186931719613
ERR260223,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,650,0.000121853279652902
ERR260227,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,2609,0.00028956762969083795
ERR260230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1078,0.000205332668446597
ERR260231,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,762,0.00014240491248358468
ERR260238,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1578,0.0001107743343589203
ERR260244,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,5923,0.000996066856047739
ERR260245,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,4629,0.0008973804980549004
ERR260246,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,4095,0.0005371176496203841
ERR260250,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1204,0.000151658213778627
