strain,species,genus,family,order,class,phylum,kingdom,id,genbank,intercept,slope,rate,rsquared,pval
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929038,1.10291753054299,3.51491810410582e-05,2.69287492773317,0.616200156370758,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260134,CP024160,3.84762762366348,5.07934136400608e-05,2.55279611742612,0.970473888636175,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP012098,1.83077218731146,3.5240554564079e-05,2.44605312446933,0.940412005197764,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929054,0.932266122930426,6.42814308489704e-05,6.90537304896478,0.87296590392613,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AP009256,1.95634150912403,4.38390207117613e-05,2.08110863279946,0.948111263535004,0
Bifidobacterium dentium JCM 1195 = DSM 20436,Bifidobacterium dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AP012326,1.68956995162561,2.82857913734845e-05,1.81563305384559,0.991188748377505,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929053,1.90566162229131,4.06377647957644e-05,3.16682920398903,0.948128638620529,0
Clostridium perfringens ATCC 13124,Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP000246,1.45579878369065,2.70177710444426e-05,2.0216641457793,0.971762514075662,0
Lactobacillus sakei,Lactobacillus sakei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP020459,1.01074627759341,2.6022585352946e-05,1.49948184051678,0.978179079192373,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AE014295,1.85906450409805,4.31726188335395e-05,2.18024762635388,0.962369061812482,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929055,3.14624176855893,3.85007083384803e-05,2.79904401794526,0.871471486455568,0
Lactobacillus rhamnosus GG,Lactobacillus rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,FM179322,1.2912496282933,2.03283750285947e-05,1.63154529435188,0.897078797552875,0
Lactobacillus salivarius UCC118,Lactobacillus salivarius,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP000233,3.18846243145812,3.59201378935522e-05,1.69053433850194,0.969657160339786,0
Flavonifractor plautii,Flavonifractor plautii,Flavonifractor,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP015406,1.14609435453714,2.39911187712834e-05,2.08106690275666,0.504643675305209,0
Bacteroides fragilis YCH46,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260134,AP006841,3.9270671978909,6.08508828233004e-06,1.2929161611248,0.905473276477604,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260138,CP024160,2.15314935978253,6.25857131371075e-05,3.17329028087752,0.980442396141881,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,CP012098,3.29787152912635,3.26337392037967e-05,2.28944531676005,0.95148226770524,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929054,1.25642640235837,6.22009735624827e-05,6.48674760259907,0.850462935440236,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260138,CP001071,1.69866089562186,2.33931227633241e-05,1.64637783854665,0.9677726052869,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,LT907978,2.61796321650104,2.68915059896823e-05,2.13048679841464,0.835532586078699,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929053,3.42056774670725,2.73972520337705e-05,2.17526490209264,0.919190945242469,0
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,Bifidobacterium pseudocatenulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260138,AP012330,1.51004316196514,8.14382646204181e-05,4.51544488269772,0.96954235765967,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260138,CP000678,2.62692847906818,2.70808608378405e-05,1.49402491297199,0.869763830692603,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260138,AE014295,1.73850886158383,4.69797395059207e-05,2.33537439103243,0.937829033965771,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929044,0.712107405091101,2.92038299668942e-05,1.98911892226214,0.602163773492535,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,CP001107,0.697695473636018,4.42578998725974e-05,3.39203325110552,0.612777248984106,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260139,CP024160,1.43665336218631,6.77600306499273e-05,3.49118187675721,0.974208329770204,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,CP012098,2.57193511442621,3.04497404940226e-05,2.16598519466188,0.932797395726375,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929054,1.284000176782,4.22975363740394e-05,3.56606926652361,0.731028497832282,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,AP009256,2.20605613958746,4.75449777677837e-05,2.21412421781882,0.93239447948663,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,LT907978,0.687938371772952,7.85115136277386e-05,9.09945782696767,0.918386809784133,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929053,1.94979749823585,3.20214266507469e-05,2.48015185058025,0.874273634000347,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,AE014295,1.11521726707938,4.47412412661656e-05,2.24287465183553,0.969619581338887,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929039,1.5799400644537,2.29060611955173e-05,1.77231221974906,0.981537454353944,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,AP018536,0.98903380120431,1.99505563980182e-05,1.91743174014795,0.697905668687525,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,CP001107,3.62936697525199,4.01049741102311e-05,3.02471561500292,0.78823444256323,0
Bifidobacterium bifidum PRL2010,Bifidobacterium bifidum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,CP001840,1.80408099213863,2.64732447420791e-05,1.59847963655431,0.994333300843151,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP030777,0.913624525337302,6.45970299197516e-05,4.64321402459711,0.868097768852065,0
Bacteroides dorei CL03T12C01,Bacteroides dorei,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260140,CP011531,1.16156312937367,5.2453696819795e-05,9.28490907421069,0.996284328786131,0
Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260140,AE015928,0.930244346601046,1.14157132348663e-05,1.77133440901533,0.506735797526044,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260140,CP024160,0.83965183820823,6.09896588882696e-05,3.08120328040376,0.927943733677405,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP012098,1.50655009161668,3.25630218986953e-05,2.28533957048573,0.956585219809376,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,FP929053,1.90203145015161,3.02730536532713e-05,2.36015062210954,0.823361292725723,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP001107,2.40305568413319,2.2309378775959e-05,1.85094114259263,0.702408527428855,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260142,FR875178,2.51150157181557,5.11619978241829e-05,2.20337969902219,0.925183247017361,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP030777,0.819717987467757,0.000133996576177961,24.1664333623442,0.9581210363307,0
Alistipes shahii WAL 8301,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260142,FP929032,1.07313147128522,2.29353707848594e-05,1.99474297652456,0.715324102761736,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260142,CP024160,1.60218425664323,6.04386364127451e-05,3.05003565419673,0.978536829996803,0
[Eubacterium] eligens ATCC 27750,Eubacterium eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP001104,1.05758115443858,4.69981473222874e-05,2.23929082782482,0.973508432677354,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP012098,1.62410569682892,4.43689356948188e-05,3.08382998408975,0.927633622574494,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260142,AP009256,3.43212939543461,4.88580956729697e-05,2.2632676762491,0.895803464371959,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,LT907978,1.68659087656298,2.81103345427592e-05,2.20478780200518,0.765063804411702,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,FP929053,0.985012796334787,7.24420066679944e-05,7.805978864393,0.932082985230576,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,FP929039,2.74373657375371,2.00267500239631e-05,1.64929565760782,0.937983773100391,0
Lactobacillus salivarius UCC118,Lactobacillus salivarius,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260142,CP000233,1.34893691957708,3.84073862800181e-05,1.75312649984484,0.98680258653302,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929038,1.04278944485355,2.61646757642148e-05,2.09049118908031,0.641350654416514,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260143,CP024160,0.872689659113929,6.00379660774254e-05,3.02757058895167,0.95372236644739,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP012098,1.41053581144536,5.36327523656951e-05,3.90128708523725,0.95481672266897,0
Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260143,CP022412,1.43338586091015,1.49697200249724e-05,1.72877440645104,0.822259444383129,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260143,AP009256,0.981705029260443,4.44310323554494e-05,2.10180815178204,0.967485575363489,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260143,CP001071,2.8960713782312,2.40151485445681e-05,1.66834957769265,0.969153346337539,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,LT907978,1.72649298708334,2.52787095334035e-05,2.03600383918342,0.96511698932901,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929053,0.810703189273923,3.29015297958835e-05,2.54284820713885,0.762391172584262,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260143,CP000678,2.70774280475781,5.59273706811645e-05,2.29130900085151,0.978511270869206,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260143,AE014295,1.30558920838087,4.5360648274586e-05,2.26809697740749,0.935446995821493,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929055,1.15177120326435,3.99630174389214e-05,2.91063510995015,0.715512684930375,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929039,3.24956849218417,2.49777569383104e-05,1.86646128914336,0.919544493180463,0
Monoglobus pectinilyticus,Monoglobus pectinilyticus,Monoglobus,"",Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP020991,2.82470226917123,1.22940555509019e-05,1.31183662409834,0.998070014711162,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929044,1.68583413332621,3.13603999191823e-05,2.09274101529707,0.606112368259454,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP001107,1.13091104159867,3.54787477800014e-05,2.66217240005531,0.782011090613002,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP030777,1.06218777490745,8.57457679875758e-05,7.67594305312812,0.936585648095262,0
Eggerthella lenta DSM 2243,Eggerthella lenta,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria,ERR260150,CP001726,1.63659583718969,3.09431303802355e-05,2.4575022352194,0.986573005399295,0
Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,AP018532,1.2162768448355,1.83497399239004e-05,1.62814689090468,0.733068801341074,0
Alistipes shahii WAL 8301,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,FP929032,1.78589548629947,1.91773710012144e-05,1.78135285893307,0.92484883628429,0
Bacteroides dorei CL03T12C01,Bacteroides dorei,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,CP011531,1.46355088771867,5.55903705810015e-05,10.6083954730725,0.998450056882928,0
Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,AE015928,2.29609247638976,7.25004446260509e-06,1.43778534781865,0.898155772394076,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929038,1.53118819485612,3.14429432053852e-05,2.42578811716224,0.625087898237221,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP012098,4.53189870862159,2.64224848659724e-05,1.95551876439276,0.978038525670415,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,HF545616,1.61286659784841,2.19580704998835e-05,1.68452262709254,0.711671342192511,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,LT907978,0.951292128366291,0.000111915674143375,23.2833904688807,0.976760029093778,0
Dialister sp. Marseille-P5638,Dialister sp. Marseille-P5638,Dialister,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Bacteria,ERR260150,LT996885,0.728732494561952,2.2141689905024e-05,1.50831637905798,0.914282348139251,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929053,2.74260485587678,2.83965237228717e-05,2.23780570982446,0.954998597435009,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260150,AE014295,0.797370045258274,4.51997647679064e-05,2.2615186420375,0.94603468016221,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929055,3.11823013269765,3.10888074041122e-05,2.29590747004351,0.84171740960198,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,AP018536,0.921870145491046,2.52475308919037e-05,2.27920553573055,0.597891829369462,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP001107,2.17436418051047,2.34789415740026e-05,1.91165972282941,0.75942000370972,0
[Eubacterium] eligens ATCC 27750,Eubacterium eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP001104,1.30807104442981,4.70483503450125e-05,2.24121998432938,0.82814228939057,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP012098,0.807006365321295,3.06779465267638e-05,2.17856769176738,0.756060242354663,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260151,CP000678,0.99924851216409,5.36784982358372e-05,2.21617721497975,0.959196205618297,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,FP929044,1.19948582247612,7.17069310704315e-05,5.41165419798359,0.80785915853991,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP001107,0.792096449315311,3.47523566407699e-05,2.60933536262896,0.54361886431089,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260152,FR875178,0.808122897826576,4.10545162876505e-05,1.88499050923294,0.953208813390983,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP030777,1.41565237917247,8.08140504926542e-05,6.82688959276284,0.970051544534318,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260152,CP024160,1.34651562570145,6.53892628689017e-05,3.34175891354407,0.972232171470735,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP012098,0.822113529499904,5.7177268479621e-05,4.26854674494741,0.92364174889465,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,FP929053,0.964475235877837,8.13081138168975e-05,10.0380809597815,0.970689700783211,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260152,CP000678,1.38971223255115,2.35626370316384e-05,1.41809737156667,0.970629191779236,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,FP929055,0.990684631827036,4.49349626431161e-05,3.32440693006586,0.725710476920203,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP001107,2.72093247513946,2.34143461360751e-05,1.90825483354032,0.802278494825793,0
