samples,kingdom,phylum,class,order,family,genus,species,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative,taxa_id
ERR260174,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1406,0.000132182151517411,1681.0
ERR260177,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,4644,0.000295038830578907,1681.0
ERR260180,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,3105,0.00049982783707834,1681.0
ERR260181,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1328,7.85041460593283e-05,1681.0
ERR260185,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1249,0.000111998159248829,1681.0
ERR260186,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1239,0.00013225488494465502,1681.0
ERR260189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1054,0.000125812499268879,1681.0
ERR260194,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,211057,0.0161416255427685,1681.0
ERR260195,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,806,0.000130075611694282,1681.0
ERR260199,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2312,0.00031838800922113396,1681.0
ERR260200,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,45483,0.00524853788010444,1681.0
ERR260206,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,441,0.000120144336665681,1681.0
ERR260231,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,979,0.000182958542416574,1681.0
ERR260238,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,3077,0.0002160029320801,1681.0
ERR260244,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,515,8.660719751217042e-05,1681.0
ERR260245,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,728,0.00014113048230373,1681.0
ERR260250,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,838,0.00010555613218147,1681.0
ERR260251,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1098,0.000176862061122755,1681.0
ERR260252,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,974,0.000174158180329531,1681.0
ERR260270,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,23369,0.00871697562835224,1681.0
ERR260275,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,16639,0.00685745890325992,1681.0
ERR260276,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,68388,0.0176335037602825,1681.0
ERR275251,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,641,0.000101640567557124,1681.0
ERR321182,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1545,0.000255529484381194,1681.0
ERR321441,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2338,0.0036432654129761296,1681.0
ERR321453,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1261,0.00100354942938546,1681.0
ERR321493,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,80070,0.00673297445438689,1681.0
ERR321509,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1180,0.000876094933052983,1681.0
ERR321548,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,75727,0.005777325148884739,1681.0
ERR321553,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,5944,0.0006329665236954599,1681.0
ERR321560,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1095,5.71485623065723e-05,1681.0
ERR321568,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1018,6.14938202033053e-05,1681.0
ERR321578,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,4995,0.000343481569067817,1681.0
ERR321584,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,875,8.46146980275492e-05,1681.0
ERR321587,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1451,0.00017854963064467902,1681.0
ERR321606,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1198,5.25009125210776e-05,1681.0
ERR321608,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2430,0.00011427833490164299,1681.0
ERR321614,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2332,0.00011223018854431001,1681.0
ERR321616,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1332,8.33374730951976e-05,1681.0
ERR321619,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,716,7.73656687251769e-05,1681.0
ERR321627,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,991,8.986727030388199e-05,1681.0
ERR321628,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,852,0.000110243026352224,1681.0
ERR321631,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,522,4.12118689550991e-05,1681.0
ERR321634,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1135,7.37582985396702e-05,1681.0
ERR321640,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1428,7.75550899112233e-05,1681.0
ERR321648,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1212,6.156598570724311e-05,1681.0
ERR414233,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1469,0.000111563389649682,1681.0
ERR414234,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,35592,0.00140971083698571,1681.0
ERR414235,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1068,9.85459126145042e-05,1681.0
ERR414239,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,709,8.61614607442187e-05,1681.0
ERR414240,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,4085,0.00026187344454546097,1681.0
ERR414241,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,642,5.23916203438784e-05,1681.0
