strain,species,genus,family,order,class,phylum,kingdom,id,genbank,intercept,slope,rate,rsquared,pval
Streptococcus sp. HSISM1,Streptococcus sp. HSISM1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CM002128,1.72023449454727,0.000113333956600605,6.91664368555502,0.994887917990128,0
Streptococcus parasanguinis ATCC 15912,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP002843,1.94285691424268,0.000103251730540613,5.20839844976261,0.98844691181961,0
Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,AP018532,0.749802460276325,2.38217576726855e-05,1.53138299400073,0.975355325991863,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929038,1.18478511740342,2.24517704856186e-05,1.66553955663208,0.966820855089195,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260134,CP024160,3.82893507175545,5.12644770488127e-05,2.35943850278886,0.954416594529538,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP012098,1.81420162223014,3.47590668662477e-05,2.16657141358421,0.942806770458102,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929054,1.00715683210994,5.0191555200691e-05,3.23614241751833,0.974219876201984,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AP009256,1.92343256169574,4.55797309349516e-05,1.90112593405668,0.910401316564157,0
Bifidobacterium dentium JCM 1195 = DSM 20436,Bifidobacterium dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AP012326,1.6822992460558,2.8186259293511e-05,1.72481923680851,0.986709041347284,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929053,1.92775421006395,3.65745618847375e-05,2.55521792189046,0.988043093503894,0
Clostridium perfringens ATCC 13124,Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP000246,1.46559191296757,2.50483473845841e-05,1.83339604015618,0.988552203921352,0
Lactobacillus sakei,Lactobacillus sakei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP020459,1.00499409868978,2.55299707977136e-05,1.41727980065118,0.974832538528373,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260134,AE014295,1.84047882510082,4.34986785066218e-05,2.00811569882059,0.947346190620484,0
[Ruminococcus] torques L2-14,[Ruminococcus] torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,FP929055,3.0950196349166,3.88022189112497e-05,2.29986592259285,0.857678834317273,0
Lactobacillus rhamnosus GG,Lactobacillus rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,FM179322,1.29388277969833,1.88362203192651e-05,1.49085041727221,0.981250350259624,0
Lactobacillus salivarius UCC118,Lactobacillus salivarius,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP000233,3.18499864754014,3.59465841263257e-05,1.66321421639285,0.96311765452057,0
Flavonifractor plautii,Flavonifractor plautii,Flavonifractor,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,CP015406,1.22456834670955,1.5102879757001e-05,1.50183898334861,0.987876326535541,0
Bacteroides fragilis YCH46,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260134,AP006841,3.91964833561615,6.21968559106392e-06,1.26435612777099,0.942010375084573,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260138,CP024160,2.14365590145354,6.0752896435661e-05,2.71611591586954,0.980784824976801,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,CP012098,3.26519570811588,3.40281551373934e-05,2.13235826999272,0.925683135687253,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929054,1.35541019768158,4.73938858118689e-05,3.27747942154067,0.964247702773158,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260138,CP001071,1.69439152539028,2.36741085460121e-05,1.63511188712581,0.964940578158928,0
[Eubacterium] hallii,[Eubacterium] hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,LT907978,2.60539721850811,2.5948448536409e-05,1.90223308356809,0.855217892835182,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929053,3.40900372664403,2.6723805702545e-05,1.9589285689519,0.93889905724502,0
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,Bifidobacterium pseudocatenulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260138,AP012330,1.43343324936945,8.52351986715546e-05,3.37096221537538,0.957651474773661,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260138,CP000678,2.61044880714811,2.89254348040907e-05,1.49326407338615,0.834941570293197,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260138,AE014295,1.72640380130148,4.56254317233681e-05,2.04884744301261,0.94713879405189,0
[Eubacterium] siraeum 70/3,[Eubacterium] siraeum,"",Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,FP929044,0.734211027826479,2.09468839620494e-05,1.37390835929564,0.987255032797794,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260138,CP001107,0.810665939444872,2.56110326591851e-05,1.69979376755869,0.957804773211389,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260139,CP024160,1.41213716608731,6.66104331121054e-05,2.81639918061033,0.979228286377208,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,CP012098,2.53884886531168,3.18924600416359e-05,2.03780164253126,0.900696766366013,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929054,1.34484900028257,3.15911980678742e-05,2.13433935336208,0.984335928839134,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,AP009256,2.17913728620293,4.92444759349126e-05,2.08995087364972,0.90374321038789,0
[Eubacterium] hallii,[Eubacterium] hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,LT907978,0.69134448949234,6.42306277690763e-05,2.97177303175095,0.973243416486808,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929053,1.97695440669631,2.74177012824454e-05,1.98775396603189,0.984094107147236,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,AE014295,1.10661495520774,4.26336198712198e-05,1.89748154625245,0.986138435537267,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,FP929039,1.57272337997269,2.28364018841456e-05,1.69039665164721,0.974545614859958,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,AP018536,1.00454459576529,1.58506513487785e-05,1.47259382691887,0.985623613296499,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260139,CP001107,3.50679803821062,4.86067318020907e-05,3.03681613285975,0.772246706377551,0
Bifidobacterium bifidum PRL2010,Bifidobacterium bifidum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260139,CP001840,1.80327049436378,2.58783430212864e-05,1.5356984475837,0.996714047038352,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP030777,0.986800585715119,5.01049767818432e-05,2.66847297727181,0.977990038296164,0
Bacteroides dorei CL03T12C01,Bacteroides dorei,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260140,CP011531,1.10108243865529,5.15445792632e-05,5.12651998687215,0.99882753801019,0
Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260140,AE015928,0.950794092328312,8.77006203669815e-06,1.39793874918275,0.988118064638383,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260140,CP024160,0.83863654818001,5.21391469282457e-05,1.92468709625004,0.993035722253408,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP012098,1.48236467500789,3.28432044726066e-05,2.0437097452125,0.94908919189519,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,FP929053,1.92692474498106,2.54621674536617e-05,1.85685359944205,0.98152881073853,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260140,CP001107,2.36830421342561,2.28621533888353e-05,1.68156571563283,0.740525864175581,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260142,FR875178,2.4797676761814,5.44612448609482e-05,2.14821202064312,0.901914437016765,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP030777,0.819553219734595,0.000116221844481942,6.64403017869594,0.979847429936056,0
Alistipes shahii WAL 8301,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260142,FP929032,1.09474232990387,1.75553775243274e-05,1.47959115772484,0.984168075264451,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260142,CP024160,1.58604101170558,5.90897574878553e-05,2.5674039706541,0.976217669125816,0
[Eubacterium] eligens ATCC 27750,[Eubacterium] eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP001104,1.03997312094124,4.50885433225757e-05,1.81792134507485,0.987396115982491,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,CP012098,1.63570279111314,4.00982892892353e-05,2.41273009111373,0.983758356133604,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260142,AP009256,3.3911652895725,5.23884728140508e-05,2.16850867734453,0.856429195499101,0
[Eubacterium] hallii,[Eubacterium] hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,LT907978,1.69041885410631,2.47546737041027e-05,1.77352958634773,0.931806475670314,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,FP929053,1.0091726019634,6.2157788918614e-05,3.83902668789166,0.993849932702818,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260142,FP929039,2.73503169573859,2.04248700856995e-05,1.62283001076877,0.922497358920198,0
Lactobacillus salivarius UCC118,Lactobacillus salivarius,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260142,CP000233,1.34781862769256,3.71662026489961e-05,1.64816480317353,0.987903479150484,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929038,1.07280639232464,1.94998758588329e-05,1.51628588806437,0.984073623356297,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260143,CP024160,0.871964952832603,5.34619389617247e-05,2.08625161564398,0.996337399406753,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP012098,1.42496541882728,4.85218855918552e-05,2.87716855001526,0.992600594908173,0
Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260143,CP022412,1.4534566261855,1.25658775744581e-05,1.50110958573688,0.991290844134843,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260143,AP009256,0.967063079384382,4.21481455298971e-05,1.70814483992917,0.988636026286875,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260143,CP001071,2.89284546172835,2.41592527302962e-05,1.65322824749317,0.96553536967328,0
[Eubacterium] hallii,[Eubacterium] hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,LT907978,1.7067052413508,2.4885180069867e-05,1.76927066614283,0.962012487221354,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929053,0.851816717557086,2.47605870784065e-05,1.71427192940982,0.992301727896568,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260143,CP000678,2.70330584243383,5.5983229114509e-05,2.23678336186953,0.975381715681148,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260143,AE014295,1.30448088556203,4.2487994606967e-05,1.94304689932052,0.965995197944049,0
[Ruminococcus] torques L2-14,[Ruminococcus] torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929055,1.19078070280015,3.02281680674669e-05,1.82923590544498,0.991500640350176,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929039,3.2333123670255,2.53383157734891e-05,1.76506301607176,0.908309653245095,0
Monoglobus pectinilyticus,Monoglobus pectinilyticus,Monoglobus,"",Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP020991,2.82444902086005,1.21929142040261e-05,1.29922726350561,0.998728411149977,0
[Eubacterium] siraeum 70/3,[Eubacterium] siraeum,"",Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,FP929044,1.74050175938905,2.28904359875574e-05,1.6213931924591,0.96413464829868,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260143,CP001107,1.13634664739755,2.93916109294521e-05,1.7843320203821,0.977948085698266,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP030777,1.12992306731521,7.31487200393892e-05,4.62856200907766,0.981466829819919,0
Eggerthella lenta DSM 2243,Eggerthella lenta,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria,ERR260150,CP001726,1.61790660284216,3.05296915410948e-05,2.10686116592577,0.985572296272994,0
Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,AP018532,1.24133952627271,1.4601545039174e-05,1.40798274811699,0.992770381345786,0
Alistipes shahii WAL 8301,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,FP929032,1.76121944624362,1.89173952423448e-05,1.52701454795322,0.944025459700285,0
Bacteroides dorei CL03T12C01,Bacteroides dorei,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,CP011531,1.40180640012798,5.50762950453479e-05,6.25016986224944,0.998516064294699,0
Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260150,AE015928,2.29240748221482,7.01010636424132e-06,1.36489906386941,0.952231254101379,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929038,1.59261888607377,2.21019663743921e-05,1.68026945505997,0.980118401436468,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP012098,4.50386269157118,2.75704660270224e-05,1.82204757737074,0.952570837803992,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,HF545616,1.62122534090228,1.94827619482024e-05,1.49499700965652,0.974884301436906,0
[Eubacterium] hallii,[Eubacterium] hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,LT907978,0.896066553257184,0.00010156841767147,6.48221337326267,0.995873133050332,0
Dialister sp. Marseille-P5638,Dialister sp. Marseille-P5638,Dialister,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Bacteria,ERR260150,LT996885,0.731072551818765,1.90692725328097e-05,1.29316400481977,0.995656523878773,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929053,2.73281795864237,2.7727618250299e-05,2.00269476131615,0.973101215669828,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260150,AE014295,0.786764651777291,4.01715203125241e-05,1.61161641741693,0.997660039801296,0
[Ruminococcus] torques L2-14,[Ruminococcus] torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,FP929055,3.10654616212123,2.9544863292317e-05,1.95381144265882,0.940632327629736,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,AP018536,0.969878118378054,1.73596626792202e-05,1.53168842862606,0.990957582733888,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260150,CP001107,2.16919933375081,2.18008587556379e-05,1.67232831405851,0.883382858646262,0
[Eubacterium] eligens ATCC 27750,[Eubacterium] eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP001104,1.29764818251749,4.43558267977947e-05,1.86182688312875,0.939532193025026,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP012098,0.811770910627246,2.54801745950773e-05,1.55705228690191,0.996968329036907,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260151,CP000678,1.00415260558046,4.96647948018797e-05,1.90219807351709,0.991034066359691,0
[Eubacterium] siraeum 70/3,[Eubacterium] siraeum,"",Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,FP929044,1.20390934982557,6.29320454907851e-05,3.10406917175837,0.979289367180877,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260151,CP001107,0.875124081784765,1.99064764517701e-05,1.49043069230713,0.980997925296188,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260152,FR875178,0.794829199711004,3.69441536726809e-05,1.4438292359334,0.995885507673304,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP030777,1.44747642133921,7.47215080117592e-05,5.2342880944514,0.986984550493461,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260152,CP024160,1.33937989709628,6.12153617579652e-05,2.53090215581951,0.991256470093821,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP012098,0.842608398231849,4.86024032371723e-05,2.53600552393937,0.993540429694034,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,FP929053,0.923600950825051,7.36633972659931e-05,3.94257257195886,0.993865428058001,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260152,CP000678,1.38776026676851,2.26345056761381e-05,1.34784074100698,0.979125003500049,0
[Ruminococcus] torques L2-14,[Ruminococcus] torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,FP929055,1.06431026476118,3.18515715686067e-05,1.96703509299017,0.986607945550522,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260152,CP001107,2.66159488216748,2.67331183099213e-05,1.86210096142101,0.728889720435783,0
Lactobacillus johnsonii,Lactobacillus johnsonii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260154,CP031701,1.65653325858827,4.71675191353702e-05,1.83846810281362,0.96805436197517,0
