compartments,abundance,growth_rate,reactions,metabolites,tradeoff,sample
Blautia,0.007152489645949426,0.003221332808677708,3108,1818,0.5,ERR321376
Clostridium,0.001248530865228462,0.0005623233775718466,3532,2001,0.5,ERR321376
Coprococcus,0.0014600987358274454,0.000657604271129271,2188,1591,0.5,ERR321376
Eubacterium,0.11043624734060122,0.04973819238726758,2482,1761,0.5,ERR321376
Faecalibacterium,0.0014647725474017969,0.0006597091838201611,1986,1472,0.5,ERR321376
Odoribacter,0.009814692718700106,0.0044203337825238056,2526,1594,0.5,ERR321376
Parabacteroides,0.11387056408543478,0.05128493732909366,2870,1747,0.5,ERR321376
Roseburia,0.009291848997249306,0.004184855828657487,2357,1567,0.5,ERR321376
Ruminococcus,0.008097222758845033,0.0036468209810370067,2983,1793,0.5,ERR321376
medium,,,756,756,0.5,ERR321376
Alistipes,0.009613718821002988,0.0034638554499818834,2650,1613,0.4,ERR321376
Anaerostipes,0.005572741333818579,0.002007877588933123,2034,1491,0.4,ERR321376
Bacteroides,0.7219770721499409,0.2601307840830564,3307,1887,0.4,ERR321376
Blautia,0.007152489645949426,0.002577066246370291,3108,1818,0.4,ERR321376
Clostridium,0.001248530865228462,0.0004498559718015944,3532,2001,0.4,ERR321376
Coprococcus,0.0014600987358274454,0.0005260818675770465,2188,1591,0.4,ERR321376
Eubacterium,0.11043624734060122,0.03979055391126945,2482,1761,0.4,ERR321376
Faecalibacterium,0.0014647725474017969,0.0005277658173072212,1986,1472,0.4,ERR321376
Odoribacter,0.009814692718700106,0.0035362670258246554,2526,1594,0.4,ERR321376
Parabacteroides,0.11387056408543478,0.04102794986478022,2870,1747,0.4,ERR321376
Roseburia,0.009291848997249306,0.0033478846626828025,2357,1567,0.4,ERR321376
Ruminococcus,0.008097222758845033,0.00291745678446672,2983,1793,0.4,ERR321376
medium,,,756,756,0.4,ERR321376
Alistipes,0.009613718821002988,0.002597891588554155,2650,1613,0.30000000000000004,ERR321376
Anaerostipes,0.005572741333818579,0.0015059082144264317,2034,1491,0.30000000000000004,ERR321376
Bacteroides,0.7219770721499409,0.19509808801832915,3307,1887,0.30000000000000004,ERR321376
Blautia,0.007152489645949426,0.0019327996918239196,3108,1818,0.30000000000000004,ERR321376
Clostridium,0.001248530865228462,0.0003374031854102963,3532,2001,0.30000000000000004,ERR321376
Coprococcus,0.0014600987358274454,0.0003945679571690626,2188,1591,0.30000000000000004,ERR321376
Eubacterium,0.11043624734060122,0.02984291542657509,2482,1761,0.30000000000000004,ERR321376
Faecalibacterium,0.0014647725474017969,0.00039583084955447853,1986,1472,0.30000000000000004,ERR321376
Odoribacter,0.009814692718700106,0.00265220027026083,2526,1594,0.30000000000000004,ERR321376
Parabacteroides,0.11387056408543478,0.03077096239151538,2870,1747,0.30000000000000004,ERR321376
Roseburia,0.009291848997249306,0.002510913498432973,2357,1567,0.30000000000000004,ERR321376
Ruminococcus,0.008097222758845033,0.002188092591869812,2983,1793,0.30000000000000004,ERR321376
medium,,,756,756,0.30000000000000004,ERR321376
Alistipes,0.009613718821002988,0.0017319277260850969,2650,1613,0.2,ERR321376
Anaerostipes,0.005572741333818579,0.0010039388083522452,2034,1491,0.2,ERR321376
Bacteroides,0.7219770721499409,0.13006539201222744,3307,1887,0.2,ERR321376
Blautia,0.007152489645949426,0.0012885331276328567,3108,1818,0.2,ERR321376
Clostridium,0.001248530865228462,0.00022493575901541823,3532,2001,0.2,ERR321376
Coprococcus,0.0014600987358274454,0.0002630451784624752,2188,1591,0.2,ERR321376
Eubacterium,0.11043624734060122,0.019895276951039646,2482,1761,0.2,ERR321376
Faecalibacterium,0.0014647725474017969,0.00026388709581145645,1986,1472,0.2,ERR321376
Odoribacter,0.009814692718700106,0.001768133513866687,2526,1594,0.2,ERR321376
Parabacteroides,0.11387056408543478,0.020513974927667874,2870,1747,0.2,ERR321376
Roseburia,0.009291848997249306,0.001673942332696044,2357,1567,0.2,ERR321376
Ruminococcus,0.008097222758845033,0.0014587283948846016,2983,1793,0.2,ERR321376
medium,,,756,756,0.2,ERR321376
Alistipes,0.009613718821002988,0.0008659638624975828,2650,1613,0.1,ERR321376
Anaerostipes,0.005572741333818579,0.0005019693947250224,2034,1491,0.1,ERR321376
Bacteroides,0.7219770721499409,0.06503269602721155,3307,1887,0.1,ERR321376
Blautia,0.007152489645949426,0.0006442665609878787,3108,1818,0.1,ERR321376
Clostridium,0.001248530865228462,0.00011246255611287459,3532,2001,0.1,ERR321376
Coprococcus,0.0014600987358274454,0.00013151968454863376,2188,1591,0.1,ERR321376
Eubacterium,0.11043624734060122,0.009947638475047257,2482,1761,0.1,ERR321376
Faecalibacterium,0.0014647725474017969,0.00013194068160108597,1986,1472,0.1,ERR321376
Odoribacter,0.009814692718700106,0.0008840667564807481,2526,1594,0.1,ERR321376
Parabacteroides,0.11387056408543478,0.01025698746391575,2870,1747,0.1,ERR321376
Roseburia,0.009291848997249306,0.000836971165617759,2357,1567,0.1,ERR321376
Ruminococcus,0.008097222758845033,0.0007293641958524753,2983,1793,0.1,ERR321376
medium,,,756,756,0.1,ERR321376
Alistipes,0.015426644742385686,23.86830117083272,2650,1613,,ERR321172
Anaerostipes,0.00736393423678705,4.11404244005098e-12,2034,1491,,ERR321172
Bacteroides,0.7795983811984043,0.0,3307,1887,,ERR321172
Blautia,0.01988894212134271,0.0,3108,1818,,ERR321172
Coprococcus,0.004831246433893719,1.0527559726747349e-12,2188,1591,,ERR321172
Eubacterium,0.019916026472847036,2.0610180229141406e-12,2482,1761,,ERR321172
Faecalibacterium,0.009543321721168407,0.0,1986,1472,,ERR321172
Faecalitalea,0.001774927835250103,4.405364961712621e-13,994,892,,ERR321172
Odoribacter,0.014398041259699207,8.637465186026766,2526,1594,,ERR321172
Parabacteroides,0.047583594346231904,0.0,2870,1747,,ERR321172
Roseburia,0.04394887437435148,0.0,2357,1567,,ERR321172
Ruminococcus,0.03572606525763839,0.0,2983,1793,,ERR321172
medium,,,735,735,,ERR321172
Alistipes,0.015426644742385686,16.092586693928464,2650,1613,1.0,ERR321172
Anaerostipes,0.00736393423678705,0.0003959917947168582,2034,1491,1.0,ERR321172
Bacteroides,0.7795983811984043,7.067621515283002e-06,3307,1887,1.0,ERR321172
Blautia,0.01988894212134271,0.00013835829206178596,3108,1818,1.0,ERR321172
Coprococcus,0.004831246433893719,0.00046586213551924594,2188,1591,1.0,ERR321172
Eubacterium,0.019916026472847036,0.0002922668947859738,2482,1761,1.0,ERR321172
Faecalibacterium,0.009543321721168407,0.0001652602978477068,1986,1472,1.0,ERR321172
Faecalitalea,0.001774927835250103,0.0004248261160015803,994,892,1.0,ERR321172
Odoribacter,0.014398041259699207,15.018093885039992,2526,1594,1.0,ERR321172
Parabacteroides,0.047583594346231904,0.48564768786188645,2870,1747,1.0,ERR321172
Roseburia,0.04394887437435148,0.0014551005437078907,2357,1567,1.0,ERR321172
Ruminococcus,0.03572606525763839,7.226313578798347e-05,2983,1793,1.0,ERR321172
medium,,,735,735,1.0,ERR321172
Alistipes,0.015426644742385686,7.475249600569899,2650,1613,0.9,ERR321172
Anaerostipes,0.00736393423678705,3.093123932481826e-09,2034,1491,0.9,ERR321172
Bacteroides,0.7795983811984043,8.978946246674478e-11,3307,1887,0.9,ERR321172
Blautia,0.01988894212134271,9.737225635968595e-10,3108,1818,0.9,ERR321172
Coprococcus,0.004831246433893719,3.5048628663091127e-09,2188,1591,0.9,ERR321172
Eubacterium,0.019916026472847036,1.4269203865743394e-09,2482,1761,0.9,ERR321172
Faecalibacterium,0.009543321721168407,1.5910596038282253e-09,1986,1472,0.9,ERR321172
Faecalitalea,0.001774927835250103,4.105488083681743e-09,994,892,0.9,ERR321172
Odoribacter,0.014398041259699207,6.976324979266712,2526,1594,0.9,ERR321172
Parabacteroides,0.047583594346231904,4.781854405609909,2870,1747,0.9,ERR321172
Roseburia,0.04394887437435148,6.510026389883287e-10,2357,1567,0.9,ERR321172
Ruminococcus,0.03572606525763839,5.261588575081492e-10,2983,1793,0.9,ERR321172
medium,,,735,735,0.9,ERR321172
Alistipes,0.015426644742385686,1.7966157438752342,2650,1613,0.8,ERR321172
Anaerostipes,0.00736393423678705,2.3271240965973843e-05,2034,1491,0.8,ERR321172
Bacteroides,0.7795983811984043,0.3338251264525938,3307,1887,0.8,ERR321172
Blautia,0.01988894212134271,6.910099231564915e-06,3108,1818,0.8,ERR321172
Coprococcus,0.004831246433893719,3.239387372148398e-05,2188,1591,0.8,ERR321172
Eubacterium,0.019916026472847036,7.841980123539958e-06,2482,1761,0.8,ERR321172
Faecalibacterium,0.009543321721168407,8.353954277582176e-06,1986,1472,0.8,ERR321172
Faecalitalea,0.001774927835250103,4.337782570396838e-05,994,892,0.8,ERR321172
Odoribacter,0.014398041259699207,1.6767177894694065,2526,1594,0.8,ERR321172
Parabacteroides,0.047583594346231904,1.7140106428768276,2870,1747,0.8,ERR321172
Roseburia,0.04394887437435148,3.3840446379596715e-06,2357,1567,0.8,ERR321172
Ruminococcus,0.03572606525763839,4.076669821220527e-06,2983,1793,0.8,ERR321172
medium,,,735,735,0.8,ERR321172
Alistipes,0.015426644742385686,0.008654202873168385,2650,1613,0.7000000000000001,ERR321172
Anaerostipes,0.00736393423678705,0.00413111570625843,2034,1491,0.7000000000000001,ERR321172
Bacteroides,0.7795983811984043,0.43731442924792674,3307,1887,0.7000000000000001,ERR321172
Blautia,0.01988894212134271,0.011157206217635038,3108,1818,0.7000000000000001,ERR321172
Coprococcus,0.004831246433893719,0.002710338414870423,2188,1591,0.7000000000000001,ERR321172
Eubacterium,0.019916026472847036,0.011172535982991562,2482,1761,0.7000000000000001,ERR321172
Faecalibacterium,0.009543321721168407,0.005353683145427062,1986,1472,0.7000000000000001,ERR321172
Faecalitalea,0.001774927835250103,0.007235975840799105,994,892,0.7000000000000001,ERR321172
Odoribacter,0.014398041259699207,0.008077206133459986,2526,1594,0.7000000000000001,ERR321172
Parabacteroides,0.047583594346231904,0.02669372269616408,2870,1747,0.7000000000000001,ERR321172
Roseburia,0.04394887437435148,0.024653668819829912,2357,1567,0.7000000000000001,ERR321172
Ruminococcus,0.03572606525763839,0.02004102291192613,2983,1793,0.7000000000000001,ERR321172
medium,,,735,735,0.7000000000000001,ERR321172
Alistipes,0.015426644742385686,0.00741732530531044,2650,1613,0.6,ERR321172
Anaerostipes,0.00736393423678705,0.00354067243809389,2034,1491,0.6,ERR321172
Bacteroides,0.7795983811984043,0.3748407312271916,3307,1887,0.6,ERR321172
Blautia,0.01988894212134271,0.009562854142023108,3108,1818,0.6,ERR321172
Coprococcus,0.004831246433893719,0.002322924212246317,2188,1591,0.6,ERR321172
Eubacterium,0.019916026472847036,0.009575876641540453,2482,1761,0.6,ERR321172
Faecalibacterium,0.009543321721168407,0.004588549419767106,1986,1472,0.6,ERR321172
Faecalitalea,0.001774927835250103,0.006382716870261753,994,892,0.6,ERR321172
Odoribacter,0.014398041259699207,0.006922759791695537,2526,1594,0.6,ERR321172
Parabacteroides,0.047583594346231904,0.02287879211762114,2870,1747,0.6,ERR321172
Roseburia,0.04394887437435148,0.02113117293424338,2357,1567,0.6,ERR321172
Ruminococcus,0.03572606525763839,0.01717754263785525,2983,1793,0.6,ERR321172
medium,,,735,735,0.6,ERR321172
Alistipes,0.015426644742385686,0.006181065341004561,2650,1613,0.5,ERR321172
Anaerostipes,0.00736393423678705,0.0029505417100035318,2034,1491,0.5,ERR321172
Bacteroides,0.7795983811984043,0.31236530131641543,3307,1887,0.5,ERR321172
Blautia,0.01988894212134271,0.007968994739789551,3108,1818,0.5,ERR321172
Coprococcus,0.004831246433893719,0.0019357579484877564,2188,1591,0.5,ERR321172
Eubacterium,0.019916026472847036,0.007979846752677093,2482,1761,0.5,ERR321172
Faecalibacterium,0.009543321721168407,0.003823767004659944,1986,1472,0.5,ERR321172
Faecalitalea,0.001774927835250103,0.006196084969866086,994,892,0.5,ERR321172
Odoribacter,0.014398041259699207,0.0057689300106242855,2526,1594,0.5,ERR321172
Parabacteroides,0.047583594346231904,0.01906553957062143,2870,1747,0.5,ERR321172
Roseburia,0.04394887437435148,0.017609199452039925,2357,1567,0.5,ERR321172
Ruminococcus,0.03572606525763839,0.01431452836334677,2983,1793,0.5,ERR321172
medium,,,735,735,0.5,ERR321172
Alistipes,0.015426644742385686,0.004944684617938223,2650,1613,0.4,ERR321172
Anaerostipes,0.00736393423678705,0.002360353377326212,2034,1491,0.4,ERR321172
Bacteroides,0.7795983811984043,0.24988376830144365,3307,1887,0.4,ERR321172
Blautia,0.01988894212134271,0.006374979638101578,3108,1818,0.4,ERR321172
Coprococcus,0.004831246433893719,0.0015485540704333178,2188,1591,0.4,ERR321172
Eubacterium,0.019916026472847036,0.006383660954133309,2482,1761,0.4,ERR321172
Faecalibacterium,0.009543321721168407,0.0030589099012381135,1986,1472,0.4,ERR321172
Faecalitalea,0.001774927835250103,0.008720455240203569,994,892,0.4,ERR321172
Odoribacter,0.014398041259699207,0.004614987533868633,2526,1594,0.4,ERR321172
Parabacteroides,0.047583594346231904,0.015251914513260908,2870,1747,0.4,ERR321172
Roseburia,0.04394887437435148,0.014086881921297954,2357,1567,0.4,ERR321172
Ruminococcus,0.03572606525763839,0.011451234416970525,2983,1793,0.4,ERR321172
medium,,,735,735,0.4,ERR321172
Alistipes,0.015426644742385686,0.003708450103451493,2650,1613,0.30000000000000004,ERR321172
Anaerostipes,0.00736393423678705,0.0017702348310346288,2034,1491,0.30000000000000004,ERR321172
Bacteroides,0.7795983811984043,0.18740962395041671,3307,1887,0.30000000000000004,ERR321172
Blautia,0.01988894212134271,0.004781153033960139,3108,1818,0.30000000000000004,ERR321172
Coprococcus,0.004831246433893719,0.0011613958996065897,2188,1591,0.30000000000000004,ERR321172
Eubacterium,0.019916026472847036,0.004787663911110505,2482,1761,0.30000000000000004,ERR321172
Faecalibacterium,0.009543321721168407,0.002294143245540336,1986,1472,0.30000000000000004,ERR321172
Faecalitalea,0.001774927835250103,0.007962795473516419,994,892,0.30000000000000004,ERR321172
Odoribacter,0.014398041259699207,0.003461181522988487,2526,1594,0.30000000000000004,ERR321172
Parabacteroides,0.047583594346231904,0.011438740429911979,2870,1747,0.30000000000000004,ERR321172
Roseburia,0.04394887437435148,0.010564980921102423,2357,1567,0.30000000000000004,ERR321172
Ruminococcus,0.03572606525763839,0.008588279071710328,2983,1793,0.30000000000000004,ERR321172
medium,,,735,735,0.30000000000000004,ERR321172
Alistipes,0.015426644742385686,0.0024721612150416096,2650,1613,0.2,ERR321172
Anaerostipes,0.00736393423678705,0.0011800903769013024,2034,1491,0.2,ERR321172
Bacteroides,0.7795983811984043,0.12493272999656124,3307,1887,0.2,ERR321172
Blautia,0.01988894212134271,0.0031872562824809326,3108,1818,0.2,ERR321172
Coprococcus,0.004831246433893719,0.0007742211425681678,2188,1591,0.2,ERR321172
Eubacterium,0.019916026472847036,0.0031915966363684754,2482,1761,0.2,ERR321172
Faecalibacterium,0.009543321721168407,0.001529342989751328,1986,1472,0.2,ERR321172
Faecalitalea,0.001774927835250103,0.008426568270086636,994,892,0.2,ERR321172
Odoribacter,0.014398041259699207,0.002307324826980896,2526,1594,0.2,ERR321172
Parabacteroides,0.047583594346231904,0.007625398513984395,2870,1747,0.2,ERR321172
Roseburia,0.04394887437435148,0.007042924952656307,2357,1567,0.2,ERR321172
Ruminococcus,0.03572606525763839,0.005725197783652754,2983,1793,0.2,ERR321172
medium,,,735,735,0.2,ERR321172
Alistipes,0.015426644742385686,0.0012494125569287766,2650,1613,0.1,ERR321172
Anaerostipes,0.00736393423678705,0.0006218181801399343,2034,1491,0.1,ERR321172
Bacteroides,0.7795983811984043,0.062454057719689884,3307,1887,0.1,ERR321172
Blautia,0.01988894212134271,0.0016035472063033645,3108,1818,0.1,ERR321172
Coprococcus,0.004831246433893719,0.00043768470583580244,2188,1591,0.1,ERR321172
Eubacterium,0.019916026472847036,0.0016054954161815898,2482,1761,0.1,ERR321172
Faecalibacterium,0.009543321721168407,0.0007881933198817854,1986,1472,0.1,ERR321172
Faecalitalea,0.001774927835250103,0.00855440616360971,994,892,0.1,ERR321172
Odoribacter,0.014398041259699207,0.001168093450755966,2526,1594,0.1,ERR321172
Parabacteroides,0.047583594346231904,0.003815072827722845,2870,1747,0.1,ERR321172
Roseburia,0.04394887437435148,0.0035244020974240947,2357,1567,0.1,ERR321172
Ruminococcus,0.03572606525763839,0.002866998896485136,2983,1793,0.1,ERR321172
medium,,,735,735,0.1,ERR321172
Alistipes,0.007390433949685736,66.65005139368108,2650,1613,,ERR321150
Anaerostipes,0.0020566993566697007,0.0,2034,1491,,ERR321150
Bacteroides,0.46907670828761944,0.0,3307,1887,,ERR321150
Bifidobacterium,0.006713551717941713,0.0,3108,1734,,ERR321150
Blautia,0.009933611975069307,0.0,3108,1818,,ERR321150
Coprococcus,0.011511380630357535,0.0,2188,1591,,ERR321150
Eubacterium,0.2980882216161123,-1.420862420130533e-13,2482,1761,,ERR321150
Faecalibacterium,0.018287507432312996,-1.3201884030422661e-11,1986,1472,,ERR321150
Haemophilus,0.002155309897625215,0.0,1504,1246,,ERR321150
Lachnoclostridium,0.001939827604426128,0.0,3174,1970,,ERR321150
Odoribacter,0.01698365694634564,0.0,2526,1594,,ERR321150
Parabacteroides,0.12852143111408484,0.0,2870,1747,,ERR321150
Roseburia,0.021267493631706918,-2.6645352591003757e-13,2357,1567,,ERR321150
Ruminococcus,0.006074165840042502,0.0,2983,1793,,ERR321150
medium,,,761,761,,ERR321150
Alistipes,0.007390433949685736,0.12427107088990011,2650,1613,1.0,ERR321150
Anaerostipes,0.0020566993566697007,0.00976258410147328,2034,1491,1.0,ERR321150
Bacteroides,0.46907670828761944,0.20752590459916415,3307,1887,1.0,ERR321150
Bifidobacterium,0.006713551717941713,0.06982309243635322,3108,1734,1.0,ERR321150
Blautia,0.009933611975069307,0.015561935408207037,3108,1818,1.0,ERR321150
Coprococcus,0.011511380630357535,0.015534007189091613,2188,1591,1.0,ERR321150
Eubacterium,0.2980882216161123,0.5777047610232275,2482,1761,1.0,ERR321150
Faecalibacterium,0.018287507432312996,0.02428810498752273,1986,1472,1.0,ERR321150
Haemophilus,0.002155309897625215,0.04068083086085481,1504,1246,1.0,ERR321150
Lachnoclostridium,0.001939827604426128,0.018363678276329995,3174,1970,1.0,ERR321150
Odoribacter,0.01698365694634564,0.28155716674436976,2526,1594,1.0,ERR321150
Parabacteroides,0.12852143111408484,0.6131379992508077,2870,1747,1.0,ERR321150
Roseburia,0.021267493631706918,0.020122143268935695,2357,1567,1.0,ERR321150
Ruminococcus,0.006074165840042502,0.019059700955055638,2983,1793,1.0,ERR321150
medium,,,761,761,1.0,ERR321150
Alistipes,0.007390433949685736,0.7885354475154436,2650,1613,0.9,ERR321150
Anaerostipes,0.0020566993566697007,0.007235835510847036,2034,1491,0.9,ERR321150
Bacteroides,0.46907670828761944,0.0007780712905007724,3307,1887,0.9,ERR321150
Bifidobacterium,0.006713551717941713,0.39149873938185065,3108,1734,0.9,ERR321150
Blautia,0.009933611975069307,0.0010695745941047407,3108,1818,0.9,ERR321150
Coprococcus,0.011511380630357535,0.0012260844052235328,2188,1591,0.9,ERR321150
Eubacterium,0.2980882216161123,0.003160988426923279,2482,1761,0.9,ERR321150
Faecalibacterium,0.018287507432312996,0.0005018632245159404,1986,1472,0.9,ERR321150
Haemophilus,0.002155309897625215,0.2337336956672703,1504,1246,0.9,ERR321150
Lachnoclostridium,0.001939827604426128,0.01127979368930029,3174,1970,0.9,ERR321150
Odoribacter,0.01698365694634564,1.809854091102775,2526,1594,0.9,ERR321150
Parabacteroides,0.12852143111408484,2.883102526719138,2870,1747,0.9,ERR321150
Roseburia,0.021267493631706918,0.0005725936113855674,2357,1567,0.9,ERR321150
Ruminococcus,0.006074165840042502,0.0014723702942205567,2983,1793,0.9,ERR321150
medium,,,761,761,0.9,ERR321150
Alistipes,0.007390433949685736,0.1407582107153575,2650,1613,0.8,ERR321150
Anaerostipes,0.0020566993566697007,0.006888205315938221,2034,1491,0.8,ERR321150
Bacteroides,0.46907670828761944,0.5535904474360586,3307,1887,0.8,ERR321150
Bifidobacterium,0.006713551717941713,0.08035395755858016,3108,1734,0.8,ERR321150
Blautia,0.009933611975069307,0.0004998496962602079,3108,1818,0.8,ERR321150
Coprococcus,0.011511380630357535,0.00021147388656196387,2188,1591,0.8,ERR321150
Eubacterium,0.2980882216161123,0.030049811848815493,2482,1761,0.8,ERR321150
Faecalibacterium,0.018287507432312996,8.60708258440135e-05,1986,1472,0.8,ERR321150
Haemophilus,0.002155309897625215,0.04346344324624579,1504,1246,0.8,ERR321150
Lachnoclostridium,0.001939827604426128,0.007300076957029412,3174,1970,0.8,ERR321150
Odoribacter,0.01698365694634564,0.32315559693460966,2526,1594,0.8,ERR321150
Parabacteroides,0.12852143111408484,0.8584206684126764,2870,1747,0.8,ERR321150
Roseburia,0.021267493631706918,0.00014000953673835685,2357,1567,0.8,ERR321150
Ruminococcus,0.006074165840042502,0.0010153550118559695,2983,1793,0.8,ERR321150
medium,,,761,761,0.8,ERR321150
Alistipes,0.007390433949685736,0.011375436598603217,2650,1613,0.7000000000000001,ERR321150
